SITE_ID,LAT_DD,LONG_DD,WATER,NEEDLE_E,BROAD_E,NEEDLE_D,BROAD_D,MIXED,WOODLAND,WOODGRSS,SHRUB_CL,SHRUB_OP,GRASS,CROP,BARE,URBAN,COVR1KM,COVR50KM
4,-27.75,152.45,0,0,0,0,0,0,42,55,0,0,2,2,0,0,6,7
5,-27.03,152.02,0,0,3,0,0,0,30,60,0,0,6,0,0,0,6,6
6,-26.76,148.82,0,0,0,0,0,0,2,21,64,0,3,10,0,0,8,8
7,-26.58,148.77,0,0,0,0,0,0,0,6,73,0,6,9,0,6,8,8
8,-26.48,148.68,0,0,0,0,0,0,2,50,47,0,2,0,0,0,8,8
9,-26.4,146.27,0,0,0,0,0,0,0,29,57,9,5,0,0,0,9,8
10,-25.67,151.75,0,0,0,0,0,0,22,73,2,0,3,0,0,0,7,7
11,-25.08,146.5,0,0,0,0,0,0,0,69,26,3,2,0,0,0,9,7
14,-24.19,150.69,0,0,0,0,0,0,28,55,6,0,11,0,0,0,7,7
15,-24.16,150.95,0,0,0,0,0,0,15,72,11,0,2,0,0,0,7,8
16,-23.3,150.51,0,0,0,0,0,0,17,75,2,0,5,2,0,0,6,7
17,-22.37,146.69,0,0,0,0,0,0,9,50,41,0,0,0,0,0,7,7
18,-20.98,141.8,0,0,0,0,0,0,2,5,0,6,87,0,0,0,10,10
21,-18.12,140.88,0,0,0,0,0,0,0,86,10,0,5,0,0,0,7,7
23,-11.48,27.6,0,0,0,0,0,0,57,26,0,0,8,8,0,0,6,10
24,-6,145.18,0,0,2,0,18,0,81,0,0,0,0,0,0,0,2,6
26,-3,-59.7,2,0,94,0,0,0,0,5,0,0,0,0,0,0,2,2
28,-2.98,-47.52,0,0,6,0,0,0,10,83,0,0,2,0,0,0,2,7
30,-2.5,-60,0,0,75,0,0,0,0,25,0,0,0,0,0,0,2,2
33,1.93,-67.05,11,0,89,0,0,0,0,0,0,0,0,0,0,0,2,2
34,2.98,102.31,0,0,80,0,0,0,0,18,0,0,0,2,0,0,7,2
36,5.25,-55.75,0,0,100,0,0,0,0,0,0,0,0,0,0,0,2,2
40,5.7,-4.1,0,0,0,0,0,0,0,16,0,0,56,27,0,0,7,10
41,6.15,-0.92,0,0,2,0,0,0,0,86,0,0,0,13,0,0,7,7
42,6.22,-5.03,8,0,0,0,0,0,0,48,2,0,15,28,0,0,11,7
44,6.39,-73.56,0,0,0,0,0,0,0,12,15,9,34,29,0,0,7,10
46,7.58,99.8,0,0,48,0,0,0,11,41,0,0,0,0,0,0,7,7
49,8.62,-71.35,0,0,0,0,0,0,3,15,0,0,60,22,0,0,10,10
51,8.93,-67.42,3,0,0,0,0,0,2,26,0,0,15,31,0,24,7,7
55,10.43,-83.98,0,0,36,0,2,0,8,47,0,0,0,8,0,0,7,2
56,12.08,75.7,0,0,0,0,0,0,40,60,0,0,0,0,0,0,6,7
57,12.82,75.6,0,0,0,0,0,0,92,8,0,0,0,0,0,0,6,6
58,13.25,75.25,0,0,0,0,0,0,29,34,0,0,17,20,0,0,6,7
59,13.52,75.1,0,0,2,0,22,0,69,8,0,0,0,0,0,0,6,6
64,18.3,-65.7,0,0,45,0,3,0,13,33,0,0,0,5,0,0,7,2
67,19.46,-98.91,0,0,0,0,0,0,0,0,0,0,60,40,0,0,10,11
68,19.5,-105.05,3,0,0,0,13,0,75,6,0,0,0,3,0,0,6,6
73,24.3,83,0,0,0,0,0,0,8,90,0,0,2,0,0,0,7,10
76,32.6,-106.85,0,0,0,0,0,0,0,0,2,98,0,0,0,0,9,9
78,35.3,-101.53,0,0,0,0,0,0,0,0,11,0,53,36,0,0,10,10
80,35.96,-84.29,8,23,0,0,38,14,6,8,0,0,0,2,0,3,6,5
82,36.95,-96.55,0,0,0,0,0,0,0,19,0,0,11,70,0,0,7,7
84,38.87,-99.38,0,0,0,0,0,0,0,0,2,0,71,26,0,2,10,10
87,40.82,-104.77,0,0,0,0,0,0,0,0,2,0,98,0,0,0,10,10
90,43.95,-101.87,0,0,0,0,0,0,0,0,0,0,84,16,0,0,10,11
91,44.29,-121.33,0,0,0,0,0,0,0,9,45,27,19,0,0,0,10,9
92,44.42,-121.84,0,22,0,0,0,0,78,0,0,0,0,0,0,0,6,6
93,44.42,-121.67,0,10,0,0,0,0,90,0,0,0,0,0,0,0,6,6
94,44.6,-123.27,0,7,0,0,0,3,13,8,0,0,5,49,0,15,11,7
95,44.68,-122.61,0,92,0,0,3,5,0,0,0,0,0,0,0,0,1,1
96,45.05,-123.96,0,45,0,0,8,38,9,0,0,0,0,0,0,0,1,1
99,45.78,-110.78,0,68,0,0,0,2,30,0,0,0,0,0,0,0,1,6
100,46.1,123,0,0,0,0,0,0,18,45,0,0,3,34,0,0,7,7
103,46.9,-102.82,2,0,0,0,0,0,0,0,0,0,81,8,0,9,10,11
107,47.5,-93.5,5,0,0,0,0,43,48,5,0,0,0,0,0,0,5,6
111,49,123,0,2,0,0,0,6,26,33,0,0,2,32,0,0,6,5
114,50,121.3,0,0,0,0,14,48,34,2,0,0,2,2,0,0,6,6
115,50.2,-115.5,0,82,0,0,3,10,3,2,0,0,0,0,0,0,1,1
116,50.7,-107.72,17,0,0,0,0,0,0,0,2,5,72,5,0,0,10,10
117,50.83,121.5,0,0,0,0,0,0,5,72,0,0,23,0,0,0,5,10
120,51.67,36.5,0,0,0,0,0,0,13,21,0,0,0,66,0,0,11,11
121,51.67,71,0,0,0,0,0,0,0,2,2,0,77,16,0,3,10,11
122,51.83,94.42,2,0,0,0,0,0,0,0,5,3,91,0,0,0,10,10
123,52.2,121.8,0,11,0,11,0,39,34,5,0,0,0,0,0,0,5,5
124,53,103,0,16,0,0,0,0,22,28,0,0,3,31,0,0,11,7
125,53.63,-106.2,3,14,0,0,5,71,6,0,0,0,0,0,0,0,5,5
126,53.92,-104.69,0,68,0,0,0,0,30,2,0,0,0,0,0,0,1,6
127,53.99,-105.12,2,95,0,0,0,0,3,0,0,0,0,0,0,0,1,1
129,55.88,-98.48,0,64,0,0,0,2,34,0,0,0,0,0,0,0,1,1
130,55.89,-98.67,0,19,0,0,0,0,76,6,0,0,0,0,0,0,1,6
131,55.93,-98.62,0,70,0,0,0,0,25,6,0,0,0,0,0,0,1,7
133,58,83,0,0,0,2,0,3,46,48,0,0,2,0,0,0,7,6
137,60.82,16.5,0,92,0,0,0,6,2,0,0,0,0,0,0,0,1,1
139,60.85,128.27,0,2,0,47,0,0,52,0,0,0,0,0,0,0,6,3
140,62,34,11,8,0,0,0,58,23,0,0,0,0,0,0,0,6,5
141,62.85,30.88,9,5,0,0,0,0,78,8,0,0,0,0,0,0,6,6
142,64,-148,0,0,0,0,0,0,0,0,3,97,0,0,0,0,6,9
143,64.12,19.45,3,31,0,0,0,2,58,6,0,0,0,0,0,0,6,1
144,64.67,47.5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1
145,64.75,-148.25,15,46,0,0,0,6,17,14,2,0,0,0,0,0,1,1
146,66.37,29.32,0,5,0,0,0,0,77,16,2,0,0,0,0,0,7,6
